nom_compteur,Annee,Mois,Jour,jour_semaine_numero,jour_we,vac_aout,PRECIP_TOTAL_DAY_MM,TOTAL_SNOW_MM,TEMPERATURE_MEAN,jours_feries,Confinement,OPINION,sum_counts
10 boulevard Auguste Blanqui NE-SO,2023,3,21,1,0,0,0.1,0.0,11.25,0,0,1,1309.0
10 boulevard Auguste Blanqui NE-SO,2023,3,22,2,0,0,1.3,0.0,10.5,0,0,1,1215.0
10 boulevard Auguste Blanqui NE-SO,2023,3,23,3,0,0,0.8,0.0,11.75,0,0,1,1341.0
10 boulevard Auguste Blanqui NE-SO,2023,3,24,4,0,0,0.7,0.0,13.0,0,0,1,1061.0
10 boulevard Auguste Blanqui NE-SO,2023,3,25,5,1,0,0.4,0.0,11.25,0,0,1,801.0
10 boulevard Auguste Blanqui NE-SO,2023,3,26,6,1,0,2.8,0.0,9.0,0,0,1,582.0
10 boulevard Auguste Blanqui NE-SO,2023,3,27,0,0,0,0.0,0.0,7.75,0,0,1,1036.0
10 boulevard Auguste Blanqui NE-SO,2023,3,28,1,0,0,0.0,0.0,7.0,0,0,2,1373.0
10 boulevard Auguste Blanqui NE-SO,2023,3,29,2,0,0,0.0,0.0,13.25,0,0,3,1306.0
10 boulevard Auguste Blanqui NE-SO,2023,3,30,3,0,0,0.3,0.0,14.75,0,0,1,1239.0
10 boulevard Auguste Blanqui NE-SO,2023,3,31,4,0,0,2.2,0.0,11.5,0,0,1,1077.0
10 boulevard Auguste Blanqui NE-SO,2023,4,1,5,1,0,2.0,0.0,10.25,0,0,1,689.0
10 boulevard Auguste Blanqui NE-SO,2023,4,2,6,1,0,0.0,0.0,10.25,0,0,2,596.0
10 boulevard Auguste Blanqui NE-SO,2023,4,3,0,0,0,0.0,0.0,7.25,0,0,2,1067.0
10 boulevard Auguste Blanqui NE-SO,2023,4,4,1,0,0,0.0,0.0,6.75,0,0,2,1231.0
10 boulevard Auguste Blanqui NE-SO,2023,4,5,2,0,0,0.0,0.0,8.75,0,0,2,1189.0
10 boulevard Auguste Blanqui NE-SO,2023,4,6,3,0,0,0.7,0.0,8.75,0,0,1,506.0
10 boulevard Auguste Blanqui NE-SO,2023,4,7,4,0,0,0.1,0.0,8.0,0,0,0,1124.0
10 boulevard Auguste Blanqui NE-SO,2023,4,8,5,1,0,0.1,0.0,9.0,0,0,2,759.0
10 boulevard Auguste Blanqui NE-SO,2023,4,9,6,1,0,0.0,0.0,11.25,0,0,2,576.0
10 boulevard Auguste Blanqui NE-SO,2023,4,10,0,0,0,0.0,0.0,12.25,1,0,1,545.0
10 boulevard Auguste Blanqui NE-SO,2023,4,11,1,0,0,0.2,0.0,9.5,0,0,1,1025.0
10 boulevard Auguste Blanqui NE-SO,2023,4,12,2,0,0,2.6,0.0,9.75,0,0,1,988.0
10 boulevard Auguste Blanqui NE-SO,2023,4,13,3,0,0,0.5,0.0,9.25,0,0,1,1147.0
10 boulevard Auguste Blanqui NE-SO,2023,4,14,4,0,0,0.1,0.0,8.5,0,0,0,959.0
10 boulevard Auguste Blanqui NE-SO,2023,4,15,5,1,0,0.5,0.0,9.75,0,0,1,680.0
10 boulevard Auguste Blanqui NE-SO,2023,4,16,6,1,0,0.0,0.0,9.5,0,0,2,785.0
10 boulevard Auguste Blanqui NE-SO,2023,4,17,0,0,0,0.1,0.0,10.25,0,0,1,1093.0
10 boulevard Auguste Blanqui NE-SO,2023,4,18,1,0,0,0.0,0.0,9.75,0,0,1,1273.0
10 boulevard Auguste Blanqui NE-SO,2023,4,19,2,0,0,0.0,0.0,11.25,0,0,1,1281.0
10 boulevard Auguste Blanqui NE-SO,2023,4,20,3,0,0,0.0,0.0,8.0,0,0,0,1301.0
10 boulevard Auguste Blanqui NE-SO,2023,4,21,4,0,0,1.4,0.0,10.0,0,0,2,1177.0
10 boulevard Auguste Blanqui NE-SO,2023,4,22,5,1,0,2.2,0.0,9.25,0,0,1,624.0
10 boulevard Auguste Blanqui NE-SO,2023,4,23,6,1,0,3.7,0.0,10.5,0,0,1,468.0
10 boulevard Auguste Blanqui NE-SO,2023,4,24,0,0,0,0.7,0.0,10.0,0,0,1,897.0
10 boulevard Auguste Blanqui NE-SO,2023,4,25,1,0,0,0.2,0.0,7.25,0,0,1,987.0
10 boulevard Auguste Blanqui NE-SO,2023,4,26,2,0,0,0.0,0.0,9.25,0,0,1,1058.0
10 boulevard Auguste Blanqui NE-SO,2023,4,27,3,0,0,0.1,0.0,12.75,0,0,1,1021.0
10 boulevard Auguste Blanqui NE-SO,2023,4,28,4,0,0,1.3,0.0,15.75,0,0,1,1017.0
10 boulevard Auguste Blanqui NE-SO,2023,4,29,5,1,0,0.2,0.0,13.5,0,0,2,643.0
10 boulevard Auguste Blanqui NE-SO,2023,4,30,6,1,0,0.0,0.0,12.75,0,0,3,532.0
102 boulevard de Magenta SE-NO,2023,1,1,6,1,0,0.0,0.0,12.75,1,0,1,1594.0
